estado,total,positivos,negativos,regiao,fips
AC,0,0,0,Norte,BR01
AL,3,0,3,Nordeste,BR02
AM,13,4,9,Norte,BR04
AP,0,0,0,Norte,BR03
BA,12,3,9,Nordeste,BR05
CE,30,13,17,Nordeste,BR06
DF,29,10,19,CentroOeste,BR07
ES,3,1,2,Sudeste,BR08
GO,22,8,14,CentroOeste,BR29
MA,3,1,2,Nordeste,BR13
MG,46,14,32,Sudeste,BR15
MS,3,2,1,CentroOeste,BR11
MT,19,5,14,CentroOeste,BR14
PA,5,1,4,Norte,BR16
PB,15,3,12,Nordeste,BR17
PE,66,15,51,Nordeste,BR30
PI,1,0,1,Nordeste,BR20
PR,55,16,39,Sul,BR18
RD,0,0,0,Norte,BR22
RJ,68,18,50,Sudeste,BR21
RN,3,0,3,Nordeste,BR24
RO,2,1,1,Norte,BR25
RS,104,27,77,Sul,BR23
SC,10,3,7,Sul,BR26
SE,2,1,1,Nordeste,BR28
SP,883,254,629,Sudeste,BR32
TO,0,0,0,Norte,BR31